driverId,driver_name,conteggio
1,Lewis Hamilton,1970
4,Fernando Alonso,1842
20,Sebastian Vettel,1101
807,Nico Hülkenberg,1703
815,Sergio Pérez,1905
817,Daniel Ricciardo,1308
822,Valtteri Bottas,1854
825,Kevin Magnussen,1816
830,Max Verstappen,1995
832,Carlos Sainz,1736
839,Esteban Ocon,1837
840,Lance Stroll,1898
842,Pierre Gasly,1884
844,Charles Leclerc,1837
846,Lando Norris,1973
847,George Russell,1906
848,Alexander Albon,1746
849,Nicholas Latifi,2093
852,Yuki Tsunoda,1821
854,Mick Schumacher,1142
855,Guanyu Zhou,1764
856,Nyck de Vries,1552
857,Oscar Piastri,1570
858,Logan Sargeant,1587
